title,types,score,drector,writer,actor,account,country,label,flim_version
这个杀手不太冷,"剧情, 动作, 犯罪",9.4,吕克·贝松 Luc Besson,吕克·贝松 Luc Besson,"让·雷诺, 娜塔莉·波特曼, 加里·奥德曼, 丹尼·爱罗, 彼得·阿佩尔, 迈克尔·巴达鲁科, 艾伦·格里尼, 伊丽莎白·瑞根, 卡尔·马图斯维奇, 弗兰克·赛格, 麦温, 乔治·马丁, 罗伯特·拉萨多, 亚当·布斯奇, 马里奥·托迪斯科, 萨米·纳塞利",1088567,法国,1023.25298,2
七武士,"动作, 冒险, 剧情",9.2,黑泽明 Akira Kurosawa,"黑泽明 Akira Kurosawa, 小国英雄 Hideo Oguni, 桥本忍 Shinobu Hashimoto","三船敏郎, 志村乔, 稻叶义男, 宫口精二, 千秋实, 加东大介, 木村功",91163,日本,83.86996,6
蝙蝠侠：黑暗骑士,"剧情, 动作, 科幻, 犯罪, 惊悚",9.1,克里斯托弗·诺兰 Christopher Nolan,"乔纳森·诺兰 Jonathan Nolan, 克里斯托弗·诺兰 Christopher Nolan, 大卫·S·高耶 David S. Goyer","克里斯蒂安·贝尔, 希斯·莱杰, 艾伦·艾克哈特, 迈克尔·凯恩, 玛吉·吉伦哈尔, 加里·奥德曼, 摩根·弗里曼, 莫尼克·加布里埃拉·库尔内, 罗恩·迪恩, 基里安·墨菲, 黄经汉, 内斯特·卡博内尔, 埃里克·罗伯茨, 里特奇·科斯特, 安东尼·迈克尔·豪尔, 基斯·斯扎拉巴基克, 柯林·麦克法兰, 约书亚·哈尔托, 美琳达·麦格劳, 内森·甘宝, 迈克尔·维约, 迈克尔·斯托扬诺夫, 威廉·斯米利, 丹尼·高德林, 迈克尔·加·怀特, 马修·奥尼尔, 威廉·菲德内尔, 欧鲁米基·欧拉乌米, 格雷格·比姆, 爱利克·赫尔曼, 毕崔斯·罗森, 文森佐·尼克力, 陈冠希",423487,"美国, 英国",385.37317,1
指环王3：王者无敌,"剧情, 动作, 奇幻, 冒险",9.1,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","维果·莫腾森, 伊莱贾·伍德, 西恩·奥斯汀, 丽芙·泰勒, 伊恩·麦克莱恩, 奥兰多·布鲁姆, 凯特·布兰切特, 米兰达·奥图, 安迪·瑟金斯, 雨果·维文, 多米尼克·莫纳汉, 比利·博伊德, 马尔顿·索克斯, 卡尔·厄本, 克里斯托弗·李, 约翰·瑞斯-戴维斯",350209,"美国, 新西兰",318.69019,3
搏击俱乐部,"剧情, 动作, 悬疑, 惊悚",9,大卫·芬奇 David Fincher,"恰克·帕拉尼克 Chuck Palahniuk, Jim Uhls","爱德华·诺顿, 布拉德·皮特, 海伦娜·伯翰·卡特, 扎克·格雷尼尔, 米特·洛夫, 杰瑞德·莱托, 艾恩·贝利, 里奇蒙德·阿奎特 , 乔治·马奎尔",465674,"美国, 德国",419.1066,1
指环王2：双塔奇兵,"剧情, 动作, 奇幻, 冒险",9,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, Stephen Sinclair, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","伊莱贾·伍德, 西恩·奥斯汀, 伊恩·麦克莱恩, 维果·莫腾森, 奥兰多·布鲁姆, 克里斯托弗·李, 丽芙·泰勒, 安迪·瑟金斯, 雨果·维文, 卡尔·厄本, 凯特·布兰切特, 多米尼克·莫纳汉, 大卫·文翰, 比利·博伊德, 布拉德·道里夫, 伯纳德·希尔, 约翰·瑞斯-戴维斯, 米兰达·奥图",328492,"美国, 新西兰",295.6428,3
将军号,"剧情, 喜剧, 动作, 战争, 冒险",9,"巴斯特·基顿 Buster Keaton, 克莱德·布鲁克曼 Clyde Bruckman","巴斯特·基顿 Buster Keaton, 克莱德·布鲁克曼 Clyde Bruckman","巴斯特·基顿, 玛丽昂·马克, 格伦·卡文德, 吉姆·法利, 弗雷德里克·弗鲁姆, 查尔斯·亨利·史密斯, 弗兰克·巴恩斯, 乔·基顿, 麦克·多林, 汤姆·纳恩",9433,美国,8.4897,5
指环王1：魔戒再现,"剧情, 动作, 奇幻, 冒险",8.9,彼得·杰克逊 Peter Jackson,"弗兰·威尔士 Fran Walsh, Philippa Boyens, 彼得·杰克逊 Peter Jackson, 托尔金 J.R.R. Tolkien","伊莱贾·伍德, 西恩·奥斯汀, 伊恩·麦克莱恩, 维果·莫腾森, 奥兰多·布鲁姆, 凯特·布兰切特, 肖恩·宾, 克里斯托弗·李, 雨果·维文, 丽芙·泰勒, 安迪·瑟金斯, 伊安·霍姆, 多米尼克·莫纳汉, 萨拉·贝克, 约翰·瑞斯-戴维斯",367864,"新西兰, 美国",327.39896,3
黑客帝国,"动作, 科幻",8.9,"安迪·沃卓斯基 Andy Wachowski, 拉娜·沃卓斯基 Lana Wachowski","安迪·沃卓斯基 Andy Wachowski, 拉娜·沃卓斯基 Lana Wachowski","基努·里维斯, 凯瑞-安·莫斯, 劳伦斯·菲什伯恩, 雨果·维文, 格洛丽亚·福斯特, 乔·潘托里亚诺, 马库斯·钟, 朱利安·阿拉汗加, 马特·多兰",345312,"美国, 澳大利亚",307.32768,1
攻壳机动队,"动作, 科幻, 动画",8.9,押井守 Mamoru Oshii,"伊藤和典 Kazunori It?, 士郎正宗 Masamune Shirow","田中敦子, 大塚明夫, 山寺宏一, 大木民夫, 家弓家正, 玄田哲章, 山内雅人, 小川真司",68158,日本,60.66062,1
