"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2021年3月1日","50.39","51.11","51.30","50.03","89.42M","-1.39%"
"2021年2月26日","51.10","53.60","54.45","50.86","132.73M","-6.15%"
"2021年2月25日","54.45","54.50","55.50","53.91","88.62M","1.59%"
"2021年2月24日","53.60","55.85","55.85","52.85","84.43M","-3.51%"
"2021年2月23日","55.55","54.29","56.73","54.20","95.30M","2.49%"
"2021年2月22日","54.20","55.27","55.74","53.36","80.15M","-1.81%"
"2021年2月19日","55.20","55.65","56.71","54.88","71.02M","-0.88%"
"2021年2月18日","55.69","55.65","57.60","55.19","107.09M","2.09%"
"2021年2月10日","54.55","56.30","56.40","53.95","75.35M","-1.28%"
"2021年2月9日","55.26","55.38","55.38","54.25","61.90M","0.00%"
"2021年2月8日","55.26","55.19","55.60","53.69","81.64M","0.95%"
"2021年2月5日","54.74","54.06","55.94","53.70","115.16M","2.32%"
"2021年2月4日","53.50","52.87","55.20","52.61","96.91M","0.85%"
"2021年2月3日","53.05","52.07","54.00","51.49","76.59M","2.08%"
"2021年2月2日","51.97","52.35","52.80","51.60","72.03M","-0.82%"
"2021年2月1日","52.40","51.00","52.78","50.48","79.66M","2.54%"
"2021年1月29日","51.10","52.18","52.46","50.81","62.15M","-0.99%"
"2021年1月28日","51.61","51.00","51.75","50.80","52.39M","-0.75%"
"2021年1月27日","52.00","51.61","52.90","51.61","60.92M","1.17%"
"2021年1月26日","51.40","52.00","53.10","51.00","60.12M","-1.36%"
"2021年1月25日","52.11","51.10","52.46","50.10","86.54M","0.91%"
"2021年1月22日","51.64","52.85","52.85","51.00","87.00M","-1.90%"
"2021年1月21日","52.64","52.97","53.50","52.15","73.67M","1.78%"
"2021年1月20日","51.72","52.10","53.12","50.99","79.23M","-0.25%"
"2021年1月19日","51.85","52.30","53.23","51.49","90.19M","-0.13%"
"2021年1月18日","51.92","51.50","53.08","51.20","123.76M","1.53%"
"2021年1月15日","51.14","50.50","53.89","50.48","177.58M","4.26%"
"2021年1月14日","49.05","49.40","50.08","48.56","70.38M","-0.71%"
"2021年1月13日","49.40","49.31","49.98","48.88","64.91M","-0.60%"
"2021年1月12日","49.70","48.55","50.05","47.56","104.45M","2.64%"
"2021年1月11日","48.42","46.58","49.17","46.49","144.52M","3.91%"
"2021年1月8日","46.60","46.29","47.02","45.81","129.96M","1.53%"
"2021年1月7日","45.90","44.29","45.97","44.26","107.83M","3.96%"
"2021年1月6日","44.15","42.10","44.20","42.00","120.07M","4.67%"
"2021年1月5日","42.18","42.76","42.80","41.44","138.72M","-2.29%"
"2021年1月4日","43.17","43.23","43.78","42.02","154.95M","-1.77%"
"2020年12月31日","43.95","43.05","44.35","42.85","89.12M","2.09%"
"2020年12月30日","43.05","42.87","43.05","41.90","93.35M","0.51%"
"2020年12月29日","42.83","43.26","43.29","42.65","72.72M","-0.49%"
"2020年12月28日","43.04","42.75","43.32","42.23","84.14M","0.75%"
"2020年12月25日","42.72","42.55","42.90","41.98","47.67M","0.35%"
"2020年12月24日","42.57","42.35","43.10","42.32","48.21M","0.59%"
"2020年12月23日","42.32","41.71","42.41","41.71","71.18M","0.98%"
"2020年12月22日","41.91","42.99","43.00","41.87","78.47M","-2.28%"
"2020年12月21日","42.89","43.04","43.15","42.31","62.39M","-0.49%"
"2020年12月18日","43.10","44.09","44.39","42.80","76.06M","-2.16%"
"2020年12月17日","44.05","43.90","44.17","43.35","50.23M","-0.02%"
"2020年12月16日","44.06","44.79","44.85","43.88","36.79M","-0.65%"
"2020年12月15日","44.35","44.45","44.94","43.44","43.88M","-0.05%"
"2020年12月14日","44.37","43.32","44.66","43.32","60.74M","3.96%"
"2020年12月11日","42.68","44.25","44.27","42.68","77.14M","-3.61%"
"2020年12月10日","44.28","44.04","44.63","43.80","36.89M","0.09%"
"2020年12月9日","44.24","44.37","44.93","44.22","37.52M","-0.05%"
"2020年12月8日","44.26","44.39","44.76","44.00","37.72M","-0.36%"
"2020年12月7日","44.42","45.70","45.75","44.10","70.48M","-2.97%"
"2020年12月4日","45.78","46.47","46.60","45.11","46.12M","-1.53%"
"2020年12月3日","46.49","46.75","47.10","45.50","50.24M","-0.66%"
"2020年12月2日","46.80","46.00","47.03","45.26","61.99M","1.30%"
"2020年12月1日","46.20","44.40","46.55","44.39","78.07M","4.52%"
"2020年11月30日","44.20","45.85","47.77","44.03","115.36M","-3.60%"
"2020年11月27日","45.85","45.40","45.97","44.70","44.61M","1.69%"
"2020年11月26日","45.09","44.47","45.38","44.47","35.15M","1.49%"
"2020年11月25日","44.43","45.52","45.57","44.17","37.81M","-0.98%"
"2020年11月24日","44.87","45.00","45.30","44.53","39.95M","-1.17%"
"2020年11月23日","45.40","45.05","45.58","44.82","58.46M","0.78%"
"2020年11月20日","45.05","44.76","45.30","44.51","31.47M","0.40%"
"2020年11月19日","44.87","44.53","45.00","43.99","47.73M","0.27%"
"2020年11月18日","44.75","43.60","45.00","43.41","62.82M","2.08%"
"2020年11月17日","43.84","43.00","44.00","42.80","47.29M","1.95%"
"2020年11月16日","43.00","42.95","43.10","42.65","38.94M","0.99%"
"2020年11月13日","42.58","43.20","43.20","41.81","54.49M","-2.29%"
"2020年11月12日","43.58","44.00","44.44","43.35","47.16M","-1.74%"
"2020年11月11日","44.35","44.00","44.35","43.51","52.70M","1.44%"
"2020年11月10日","43.72","43.77","44.38","43.40","56.21M","1.60%"
"2020年11月9日","43.03","42.99","43.47","42.60","49.71M","1.29%"
"2020年11月6日","42.48","42.80","42.85","42.09","46.36M","-0.72%"
"2020年11月5日","42.79","43.10","43.71","42.38","68.05M","-0.33%"
"2020年11月4日","42.93","42.12","43.09","41.38","88.45M","4.10%"
"2020年11月3日","41.24","40.70","42.10","40.70","87.07M","2.46%"
"2020年11月2日","40.25","40.49","40.70","39.18","51.69M","1.11%"
"2020年10月30日","39.81","40.50","41.15","39.58","43.84M","-0.95%"
"2020年10月29日","40.19","39.75","40.86","39.67","52.31M","0.22%"
"2020年10月28日","40.10","40.63","41.08","39.61","69.36M","-0.87%"
"2020年10月27日","40.45","40.62","41.25","40.33","45.88M","-0.42%"
"2020年10月26日","40.62","41.66","41.66","40.08","50.45M","-1.46%"
"2020年10月23日","41.22","40.91","42.10","40.86","55.18M","0.07%"
"2020年10月22日","41.19","41.00","42.00","40.33","64.50M","0.96%"
"2020年10月21日","40.80","40.06","40.87","39.99","54.19M","2.08%"
"2020年10月20日","39.97","40.00","40.31","39.70","42.44M","-0.05%"
"2020年10月19日","39.99","40.29","41.55","39.89","98.15M","0.53%"
"2020年10月16日","39.78","38.91","40.20","38.88","110.59M","1.97%"
"2020年10月15日","39.01","38.14","39.23","38.05","119.67M","2.52%"
"2020年10月14日","38.05","37.80","38.10","37.39","64.29M","0.69%"
"2020年10月13日","37.79","37.48","38.01","37.13","51.14M","0.61%"
"2020年10月12日","37.56","36.40","37.65","36.30","99.86M","3.81%"
"2020年10月9日","36.18","36.40","36.80","36.13","49.47M","0.50%"
"2020年9月30日","36.00","36.30","36.57","35.80","65.47M","-0.85%"
"2020年9月29日","36.31","37.35","37.45","36.27","79.67M","-2.52%"
"2020年9月28日","37.25","37.20","37.65","37.05","35.32M","0.19%"
"2020年9月25日","37.18","37.10","37.40","37.08","35.23M","0.32%"
"2020年9月24日","37.06","37.35","37.35","36.90","54.03M","-1.17%"
"2020年9月23日","37.50","37.82","38.05","37.40","43.08M","-1.00%"
"2020年9月22日","37.88","38.50","38.60","37.74","58.31M","-1.87%"
"2020年9月21日","38.60","39.00","39.13","38.60","50.15M","-1.00%"
"2020年9月18日","38.99","37.85","38.99","37.80","108.17M","2.96%"
"2020年9月17日","37.87","38.10","38.47","37.85","55.77M","-0.50%"
"2020年9月16日","38.06","37.96","38.30","37.78","47.89M","0.42%"
"2020年9月15日","37.90","37.26","38.09","37.23","53.08M","1.47%"
"2020年9月14日","37.35","37.40","37.58","37.07","46.02M","0.30%"
"2020年9月11日","37.24","37.87","37.88","37.02","55.31M","-1.22%"
"2020年9月10日","37.70","37.88","37.91","37.37","55.02M","0.27%"
"2020年9月9日","37.60","37.27","37.95","37.16","60.54M","0.03%"
"2020年9月8日","37.59","37.18","37.62","37.02","68.35M","2.17%"
"2020年9月7日","36.79","36.80","37.58","36.69","61.61M","-0.03%"
"2020年9月4日","36.80","36.63","36.89","36.35","48.54M","-0.49%"
"2020年9月3日","36.98","37.12","37.43","36.76","64.05M","-0.59%"
"2020年9月2日","37.20","37.49","37.58","36.80","79.72M","-0.59%"
"2020年9月1日","37.42","37.46","37.70","37.01","71.28M","-0.72%"
"2020年8月31日","37.69","38.50","39.00","37.55","119.03M","-1.98%"
"2020年8月28日","38.45","36.85","38.45","36.60","118.29M","4.20%"
"2020年8月27日","36.90","37.23","37.29","36.41","57.48M","-0.89%"
"2020年8月26日","37.23","37.70","37.89","37.01","62.70M","-0.93%"
"2020年8月25日","37.58","37.80","38.20","37.42","54.53M","0.21%"
"2020年8月24日","37.50","38.08","38.31","37.37","62.10M","-0.71%"
"2020年8月21日","37.77","38.00","38.01","37.46","56.13M","0.67%"
"2020年8月20日","37.52","38.21","38.23","37.13","73.44M","-2.16%"
"2020年8月19日","38.35","38.84","39.08","38.35","56.39M","-1.29%"
"2020年8月18日","38.85","39.00","39.16","38.53","57.37M","-0.51%"
"2020年8月17日","39.05","38.06","39.53","38.06","148.31M","2.76%"
"2020年8月14日","38.00","37.33","38.08","37.26","67.07M","1.79%"
"2020年8月13日","37.33","37.85","38.17","37.32","64.05M","-1.22%"
"2020年8月12日","37.79","37.78","38.26","37.03","93.00M","0.67%"
"2020年8月11日","37.54","37.15","38.80","37.15","173.64M","1.46%"
"2020年8月10日","37.00","36.70","37.41","35.89","122.45M","1.07%"
"2020年8月7日","36.61","36.88","36.88","36.20","89.80M","-1.11%"
"2020年8月6日","37.02","36.43","37.33","36.34","125.24M","1.98%"
"2020年8月5日","36.30","36.40","36.66","35.81","106.07M","-1.04%"
"2020年8月4日","36.68","35.14","37.15","35.00","235.44M","4.80%"
"2020年8月3日","35.00","35.20","35.39","34.78","102.19M","0.57%"
"2020年7月31日","34.80","34.60","35.35","34.49","98.99M","0.69%"
"2020年7月30日","34.56","35.05","35.17","34.48","79.89M","-1.45%"
"2020年7月29日","35.07","34.50","35.35","34.23","96.91M","1.42%"
"2020年7月28日","34.58","34.66","34.88","34.21","78.04M","0.96%"
"2020年7月27日","34.25","34.94","34.97","34.01","89.35M","-1.01%"
"2020年7月24日","34.60","35.50","35.80","34.13","130.42M","-2.81%"
"2020年7月23日","35.60","36.18","36.41","35.25","119.71M","-2.31%"
"2020年7月22日","36.44","36.78","37.10","36.26","99.88M","-1.09%"
"2020年7月21日","36.84","37.27","37.44","36.52","83.16M","-1.15%"
"2020年7月20日","37.27","36.10","37.45","35.85","159.42M","3.30%"
"2020年7月17日","36.08","35.87","36.20","35.31","116.99M","1.35%"
"2020年7月16日","35.60","36.05","36.55","35.60","142.95M","-0.73%"
"2020年7月15日","35.86","36.99","37.02","35.70","134.11M","-1.78%"
"2020年7月14日","36.51","37.07","37.42","36.23","131.09M","-2.12%"
"2020年7月13日","37.30","37.01","38.00","36.67","163.41M","0.13%"
"2020年7月10日","37.25","38.71","39.00","37.05","152.82M","-6.66%"
"2020年7月9日","39.91","40.51","40.62","39.53","169.32M","-1.46%"
"2020年7月8日","40.50","40.90","41.87","39.97","182.70M","-1.36%"
"2020年7月7日","41.06","41.80","43.30","40.50","201.63M","1.61%"
"2020年7月6日","40.41","37.18","40.41","37.18","187.49M","9.99%"
"2020年7月3日","36.74","35.40","36.76","35.35","153.57M","4.08%"
"2020年7月2日","35.30","34.65","35.47","34.30","124.52M","1.47%"
"2020年7月1日","34.79","33.79","34.80","33.61","79.91M","3.17%"
"2020年6月30日","33.72","33.85","33.96","33.64","39.16M","0.24%"
"2020年6月29日","33.64","34.17","34.30","33.49","56.73M","-0.77%"
"2020年6月24日","33.90","33.52","33.96","33.51","47.99M","1.65%"
"2020年6月23日","33.35","33.30","33.54","33.11","45.25M","-0.45%"
"2020年6月22日","33.50","33.66","33.85","33.33","59.58M","-1.06%"
"2020年6月19日","33.86","33.80","34.34","33.60","67.95M","-0.09%"
"2020年6月18日","33.89","33.88","34.06","33.02","92.29M","-0.91%"
"2020年6月17日","34.20","34.00","34.31","33.83","30.63M","0.18%"
"2020年6月16日","34.14","34.00","34.18","33.81","38.16M","1.70%"
"2020年6月15日","33.57","34.04","34.18","33.46","65.43M","-2.70%"
"2020年6月12日","34.50","33.99","34.50","33.70","54.66M","0.09%"
"2020年6月11日","34.47","35.21","35.32","34.31","58.89M","-2.46%"
"2020年6月10日","35.34","35.64","35.65","35.18","27.27M","-0.53%"
"2020年6月9日","35.53","35.61","35.69","35.26","30.09M","-0.39%"
"2020年6月8日","35.67","35.55","36.19","35.50","50.18M","1.22%"
"2020年6月5日","35.24","35.30","35.47","34.81","32.72M","0.26%"
"2020年6月4日","35.15","35.50","35.55","35.07","25.76M","-0.20%"
"2020年6月3日","35.22","35.45","36.00","35.02","61.02M","0.51%"
"2020年6月2日","35.04","34.55","35.26","34.54","49.30M","0.63%"
"2020年6月1日","34.82","34.15","34.97","34.10","48.82M","2.96%"
"2020年5月29日","33.82","33.86","34.13","33.70","37.24M","-1.17%"
"2020年5月28日","34.22","33.58","34.70","33.43","69.36M","2.36%"
"2020年5月27日","33.43","33.57","33.98","33.24","32.08M","0.00%"
"2020年5月26日","33.43","33.30","33.49","33.09","32.25M","1.03%"
"2020年5月25日","33.09","33.92","33.94","32.90","43.27M","-1.61%"
"2020年5月22日","33.63","34.49","34.69","33.61","42.40M","-3.17%"
"2020年5月21日","34.73","34.91","35.18","34.66","36.25M","0.14%"
"2020年5月20日","34.68","34.27","35.03","34.10","38.05M","1.20%"
"2020年5月19日","34.27","34.40","34.48","34.06","26.43M","1.39%"
"2020年5月18日","33.80","33.62","34.30","33.51","36.37M","-0.15%"
"2020年5月15日","33.85","34.19","34.26","33.70","36.19M","-0.24%"
"2020年5月14日","33.93","34.39","34.42","33.80","42.06M","-1.77%"
"2020年5月13日","34.54","34.40","34.68","34.10","27.98M","-0.14%"
"2020年5月12日","34.59","34.99","35.04","34.44","34.96M","-1.06%"
"2020年5月11日","34.96","34.98","35.48","34.88","29.59M","-0.03%"
"2020年5月8日","34.97","34.77","35.18","34.55","39.22M","1.51%"
"2020年5月7日","34.45","34.60","34.62","34.05","29.95M","-0.52%"
"2020年5月6日","34.63","34.53","34.78","34.18","50.17M","-1.31%"
"2020年4月30日","35.09","35.15","36.05","35.05","71.53M","0.20%"
"2020年4月29日","35.02","33.90","35.10","33.89","65.88M","3.43%"
"2020年4月28日","33.86","33.60","33.90","33.30","36.65M","0.83%"
"2020年4月27日","33.58","32.75","33.98","32.72","65.34M","3.29%"
"2020年4月24日","32.51","32.72","32.72","32.41","22.26M","-0.55%"
"2020年4月23日","32.69","32.82","32.96","32.65","24.62M","-0.12%"
"2020年4月22日","32.73","32.45","32.75","32.33","27.94M","0.25%"
"2020年4月21日","32.65","32.90","33.04","32.58","32.87M","-0.76%"
"2020年4月20日","32.90","32.89","33.08","32.55","33.60M","0.12%"
"2020年4月17日","32.86","32.45","33.20","32.34","69.80M","2.37%"
"2020年4月16日","32.10","32.20","32.41","31.96","29.50M","-0.99%"
"2020年4月15日","32.42","32.59","32.63","32.32","23.78M","-0.89%"
"2020年4月14日","32.71","32.18","32.71","32.08","42.71M","2.44%"
"2020年4月13日","31.93","31.92","32.20","31.82","23.06M","-0.53%"
"2020年4月10日","32.10","32.41","32.56","31.91","43.74M","-0.62%"
"2020年4月9日","32.30","32.29","32.35","32.11","28.67M","0.25%"
"2020年4月8日","32.22","32.50","32.50","32.12","31.81M","-0.92%"
"2020年4月7日","32.52","32.84","32.88","32.40","43.18M","1.15%"
"2020年4月3日","32.15","32.00","32.32","31.99","25.16M","-0.59%"
"2020年4月2日","32.34","31.75","32.34","31.71","28.96M","0.65%"
"2020年4月1日","32.13","32.12","32.65","32.00","35.81M","-0.46%"
"2020年3月31日","32.28","32.92","32.98","32.16","37.75M","-1.13%"
"2020年3月30日","32.65","32.18","32.72","31.80","47.75M","-0.21%"
"2020年3月27日","32.72","33.12","33.33","32.48","58.18M","0.00%"
"2020年3月26日","32.72","32.10","33.42","32.06","69.46M","0.71%"
"2020年3月25日","32.49","32.23","32.68","32.17","80.95M","3.11%"
"2020年3月24日","31.51","31.15","31.65","30.81","82.54M","4.48%"
"2020年3月23日","30.16","30.01","30.51","29.88","92.90M","-2.84%"
"2020年3月20日","31.04","29.80","31.11","29.80","134.32M","5.90%"
"2020年3月19日","29.31","30.48","30.48","28.71","155.95M","-4.90%"
"2020年3月18日","30.82","31.88","32.28","30.76","82.43M","-2.87%"
"2020年3月17日","31.73","31.65","32.61","31.11","84.34M","0.19%"
"2020年3月16日","31.67","33.39","33.39","31.64","106.60M","-5.21%"
"2020年3月13日","33.41","32.80","33.56","32.40","114.10M","-2.20%"
"2020年3月12日","34.16","34.37","34.59","34.02","61.92M","-0.84%"
"2020年3月11日","34.45","34.76","34.99","34.41","56.66M","-0.66%"
"2020年3月10日","34.68","34.19","34.94","34.08","66.83M","1.46%"
"2020年3月9日","34.18","34.88","34.88","34.18","96.66M","-3.47%"
"2020年3月6日","35.41","35.84","36.02","35.41","67.07M","-2.26%"
"2020年3月5日","36.23","34.99","36.32","34.80","135.54M","4.17%"
"2020年3月4日","34.78","34.68","34.80","34.44","56.09M","0.46%"
